,Born,Died,Title Year,Population,Latitude,Longitude,Birthplace,region,name
1827,1973,,1997,,23.1319444,-82.3641667,Havana,Africa,Algeria
1899,1983,,2001,,23.1319444,-82.3641667,Havana,Africa,Algeria
1971,1944,,1975,,23.1319444,-82.3641667,Havana,Africa,Algeria
2043,1992,,2019,,23.1319444,-82.3641667,Havana,Africa,Algeria
2115,1968,,2004,,23.1319444,-82.3641667,Havana,Africa,Algeria
2187,1991,,2015,,23.1319444,-82.3641667,Havana,Africa,Algeria
2259,1976,,2012,,23.1319444,-82.3641667,Havana,Africa,Algeria
2333,1988,,2007,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2334,1983,,2004,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2335,1964,2016,1993,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2336,1989,,2006,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2337,1982,,2000,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2338,1980,2008,1998,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2339,1986,,2010,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2340,1993,,2017,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2341,1974,2016,1999,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2342,1995,,2012,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2343,1984,,2009,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2344,1989,,2008,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2345,1995,,2013,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2346,2001,,2018,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2347,1981,,2009,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2348,1997,,2019,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2349,1991,,2010,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2350,1981,,2006,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2351,1958,,1984,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2352,1989,,2008,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2353,1996,,2017,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2354,1967,,1992,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2355,1977,,2008,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2356,1963,,1994,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2357,1975,,2004,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2358,1953,,1984,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2359,1984,,2009,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2360,1984,,2004,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2361,1983,,2002,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2362,2002,,2019,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2363,1991,,2009,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2364,1951,,1971,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2365,1970,2020,2001,1093499.0,40.1811111,44.513611100000006,Yerevan,,
2366,1981,,2015,117157.0,44.223333,42.057778000000006,Cherkessk,,
2367,1961,,1995,10690.0,58.666667,17.1,Oxelösund,,
2368,1988,,2013,,23.6,72.95,Ahmednagar,Oceania,American Samoa
2524,1969,,2010,,34.741111,67.737778,Kazan,,
2537,1987,,2008,,34.741111,67.737778,Kazan,,
2550,1972,,2003,,34.741111,67.737778,Kazan,,
2563,1967,,1993,,34.741111,67.737778,Kazan,,
2576,1985,,2003,,34.741111,67.737778,Kazan,,
2589,1964,,2003,,34.741111,67.737778,Kazan,,
2602,1963,2017,1997,,34.741111,67.737778,Kazan,,
2615,2000,,2019,347572.0,21.380833300000003,-77.9169444,Camagüey,,
2619,1960,,2001,347572.0,21.380833300000003,-77.9169444,Camagüey,,
2623,1945,,1977,,53.3,141.466667,Orenburg,,
2625,1976,,1993,1938.0,48.15,20.25,Járdánháza,,
2626,1974,,2009,,-34.5875,-58.6725,Buenos Aires,,
3928,1981,,2002,,-34.5875,-58.6725,Buenos Aires,,
4579,1970,,2013,,-34.5875,-58.6725,Buenos Aires,,
5230,1966,,1998,,-34.5875,-58.6725,Buenos Aires,,
5881,1992,,2017,,-34.5875,-58.6725,Buenos Aires,,
6532,1985,,2008,,-34.5875,-58.6725,Buenos Aires,,
7183,1990,,2009,,-34.5875,-58.6725,Buenos Aires,,
7834,1975,,2003,,-34.5875,-58.6725,Buenos Aires,,
8485,1986,,2014,,-34.5875,-58.6725,Buenos Aires,,
9136,1935,,1955,,-34.5875,-58.6725,Buenos Aires,,
9787,1998,,2016,,-34.5875,-58.6725,Buenos Aires,,
10438,1947,,1973,,-34.5875,-58.6725,Buenos Aires,,
11089,1962,,1997,,-34.5875,-58.6725,Buenos Aires,,
11740,1965,,2001,,-34.5875,-58.6725,Buenos Aires,,
12391,1967,,1995,,-34.5875,-58.6725,Buenos Aires,,
13042,1975,,1996,,-34.5875,-58.6725,Buenos Aires,,
13693,1971,,2008,,-34.5875,-58.6725,Buenos Aires,,
14344,1988,,2010,,12.516666699999998,-70.0166667,Barcelona,,
14489,1986,,2019,,12.516666699999998,-70.0166667,Barcelona,,
14634,1972,,2004,,12.516666699999998,-70.0166667,Barcelona,,
14779,1965,,1988,,12.516666699999998,-70.0166667,Barcelona,,
14924,1980,,2007,,12.516666699999998,-70.0166667,Barcelona,,
15069,1974,,2003,,12.516666699999998,-70.0166667,Barcelona,,
15214,1965,,1995,,12.516666699999998,-70.0166667,Barcelona,,
15359,1990,,2011,,12.516666699999998,-70.0166667,Barcelona,,
15504,1970,,1992,,49.980814,36.252718,Kharkiv,,
15505,1967,,1997,,49.980814,36.252718,Kharkiv,,
15506,1960,,1985,,49.980814,36.252718,Kharkiv,,
15507,1983,,2001,,49.980814,36.252718,Kharkiv,,
15508,1975,,2013,,49.980814,36.252718,Kharkiv,,
15509,1982,,2007,,49.980814,36.252718,Kharkiv,,
15510,1959,,1986,,49.980814,36.252718,Kharkiv,,
15511,1992,,2008,,49.980814,36.252718,Kharkiv,,
15512,1964,,1991,,49.980814,36.252718,Kharkiv,,
15513,1978,,2008,,49.980814,36.252718,Kharkiv,,
15514,1985,,2012,,49.980814,36.252718,Kharkiv,,
15515,1988,,2006,,13.1833333,0.2,Tanta,,
15642,1995,,2016,14799.0,64.1833333,-51.75,Nuuk,,
15643,1951,,1972,,59.716667,12.266667,Västerås,,
15647,1990,,2007,,54.6339,85.5073,Ryazan,,
15653,1957,,1999,71258.0,44.1197222,15.2422222,Zadar,,
15655,1986,,2019,,54.128136,79.23751800000001,Leningrad,,
15721,1965,,1990,,54.128136,79.23751800000001,Leningrad,,
15787,1947,2005,2005,,54.128136,79.23751800000001,Leningrad,,
15853,1961,,1995,,54.128136,79.23751800000001,Leningrad,,
15919,1966,,1990,,54.128136,79.23751800000001,Leningrad,,
15985,1979,,2009,,54.128136,79.23751800000001,Leningrad,,
16051,1956,,1977,,54.128136,79.23751800000001,Leningrad,,
16117,1931,2016,1956,,54.128136,79.23751800000001,Leningrad,,
16183,1931,2018,1968,,54.128136,79.23751800000001,Leningrad,,
16249,1989,,2010,,54.128136,79.23751800000001,Leningrad,,
16381,1970,,2003,,54.128136,79.23751800000001,Leningrad,,
16447,1977,,2008,,54.128136,79.23751800000001,Leningrad,,
16513,1974,,1999,,54.128136,79.23751800000001,Leningrad,,
16579,1989,,2007,,54.128136,79.23751800000001,Leningrad,,
16645,1974,,1992,,54.128136,79.23751800000001,Leningrad,,
16711,1966,,1993,,54.128136,79.23751800000001,Leningrad,,
16777,1937,,1955,,54.128136,79.23751800000001,Leningrad,,
16843,1976,,1994,,54.128136,79.23751800000001,Leningrad,,
16909,1943,,1997,,54.128136,79.23751800000001,Leningrad,,
16975,1987,,2007,,54.128136,79.23751800000001,Leningrad,,
17041,1947,,2005,,54.128136,79.23751800000001,Leningrad,,
17107,1976,,1994,,54.128136,79.23751800000001,Leningrad,,
17173,1958,,1992,,54.128136,79.23751800000001,Leningrad,,
17239,1959,,1990,,54.128136,79.23751800000001,Leningrad,,
17305,1985,,2013,,54.128136,79.23751800000001,Leningrad,,
17371,1969,,2001,65956.0,46.683333000000005,21.1,Békéscsaba,,
17372,1991,,2011,65956.0,46.683333000000005,21.1,Békéscsaba,,
17373,1987,,2007,65956.0,46.683333000000005,21.1,Békéscsaba,,
17374,1960,,2005,,38.0516667,58.21,Bezmein,,
17375,1968,,1999,,50.466667,4.8333330000000005,Belgrade,,
17384,1955,,1982,,50.466667,4.8333330000000005,Belgrade,,
17393,1923,2012,1951,,50.466667,4.8333330000000005,Belgrade,,
17402,2002,,2020,,50.466667,4.8333330000000005,Belgrade,,
17411,1933,,1955,,50.466667,4.8333330000000005,Belgrade,,
17429,1945,2015,1979,,50.466667,4.8333330000000005,Belgrade,,
17438,1930,,1955,,50.466667,4.8333330000000005,Belgrade,,
17447,1935,2013,1965,,50.466667,4.8333330000000005,Belgrade,,
17465,1989,,2016,,50.466667,4.8333330000000005,Belgrade,,
17474,1964,,1993,,50.466667,4.8333330000000005,Belgrade,,
17483,1984,,2004,,50.466667,4.8333330000000005,Belgrade,,
17492,1977,,2007,,50.466667,4.8333330000000005,Belgrade,,
17501,1973,,2010,,50.466667,4.8333330000000005,Belgrade,,
17510,1940,,1989,,50.466667,4.8333330000000005,Belgrade,,
17519,1980,,2001,,50.466667,4.8333330000000005,Belgrade,,
17528,1997,,2013,10381288.0,55.752222,37.615556,Moscow,,
17574,1954,,1991,10381288.0,55.752222,37.615556,Moscow,,
17597,1964,,1995,10381288.0,55.752222,37.615556,Moscow,,
17620,1955,,1993,10381288.0,55.752222,37.615556,Moscow,,
17643,1955,,1984,10381288.0,55.752222,37.615556,Moscow,,
17666,1969,,1995,10381288.0,55.752222,37.615556,Moscow,,
17689,1980,,2008,10381288.0,55.752222,37.615556,Moscow,,
17712,1966,,1986,10381288.0,55.752222,37.615556,Moscow,,
17735,1984,,2004,10381288.0,55.752222,37.615556,Moscow,,
17758,1998,,2015,10381288.0,55.752222,37.615556,Moscow,,
17781,1996,,2011,10381288.0,55.752222,37.615556,Moscow,,
17804,1996,2016,2013,10381288.0,55.752222,37.615556,Moscow,,
17827,1960,,2010,10381288.0,55.752222,37.615556,Moscow,,
17850,1961,,1990,10381288.0,55.752222,37.615556,Moscow,,
17873,1996,,2017,10381288.0,55.752222,37.615556,Moscow,,
17896,1986,,2007,10381288.0,55.752222,37.615556,Moscow,,
17919,1983,,2000,10381288.0,55.752222,37.615556,Moscow,,
17942,1956,,1983,10381288.0,55.752222,37.615556,Moscow,,
17965,1986,,2002,10381288.0,55.752222,37.615556,Moscow,,
17988,1960,,1980,10381288.0,55.752222,37.615556,Moscow,,
18011,1956,,1997,10381288.0,55.752222,37.615556,Moscow,,
18034,1959,2012,1993,10381288.0,55.752222,37.615556,Moscow,,
18057,1989,,2017,10381288.0,55.752222,37.615556,Moscow,,
18080,1977,,2000,10381288.0,55.752222,37.615556,Moscow,,
18103,1987,,2007,10381288.0,55.752222,37.615556,Moscow,,
18126,1963,,1989,10381288.0,55.752222,37.615556,Moscow,,
18149,1976,,2004,10381288.0,55.752222,37.615556,Moscow,,
18172,1984,,2003,10381288.0,55.752222,37.615556,Moscow,,
18195,1989,,2011,10381288.0,55.752222,37.615556,Moscow,,
18218,1987,,2012,10381288.0,55.752222,37.615556,Moscow,,
18241,1983,,2006,10381288.0,55.752222,37.615556,Moscow,,
18287,1911,2010,1950,10381288.0,55.752222,37.615556,Moscow,,
18310,1953,,1976,10381288.0,55.752222,37.615556,Moscow,,
18333,1977,,1994,10381288.0,55.752222,37.615556,Moscow,,
18356,1990,,2014,10381288.0,55.752222,37.615556,Moscow,,
18379,1941,,1987,10381288.0,55.752222,37.615556,Moscow,,
18402,1977,,1999,10381288.0,55.752222,37.615556,Moscow,,
18425,1965,,1990,10381288.0,55.752222,37.615556,Moscow,,
18448,1959,,2008,10381288.0,55.752222,37.615556,Moscow,,
18471,1985,,2004,10381288.0,55.752222,37.615556,Moscow,,
18494,1972,,2004,10381288.0,55.752222,37.615556,Moscow,,
18517,1988,,2011,10381288.0,55.752222,37.615556,Moscow,,
18540,1998,,2017,10381288.0,55.752222,37.615556,Moscow,,
18563,1964,,1993,10381288.0,55.752222,37.615556,Moscow,,
18586,1945,2012,1976,10381288.0,55.752222,37.615556,Moscow,,
18609,1985,,2001,10381288.0,55.752222,37.615556,Moscow,,
18632,1979,,2006,10381288.0,55.752222,37.615556,Moscow,,
18655,2000,,2017,10381288.0,55.752222,37.615556,Moscow,,
18678,1974,,1998,10381288.0,55.752222,37.615556,Moscow,,
