,game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_black_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
88,1b7ca73d-2748-402e-ba6e-51c1e790fcd7,108,54,"Anderssen, Adolf",Kg5,f5g5,f5,g5,K,Black,8/7p/1p5P/6k1/8/P4K2/8/8,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,37,37,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,"d4,f5"
89,1c086c7e-3ee8-4358-84fe-16290f897413,81,41,"Rosenthal, Samuel",Kxf4,e4f4,e4,f4,K,White,8/6p1/2p2k2/pp6/2pP1KPp/2P5/PP4P1/8,0,0,0,0,0,0,7,7,6,6,0,0,0,0,0,0,0,0,33,33,0,3,1,3,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,2,2,1,1,0,"e4,e6"
90,1c152960-2152-4749-9e3c-bc75a9c9ed3f,100,50,"Blackburne, Joseph",Rxd6,d7d6,d7,d6,R,Black,8/8/1p1r4/p4kp1/2R1n3/P1P5/2P3K1/8,0,0,0,0,0,0,5,6,3,3,0,0,0,0,0,1,1,1,28,31,0,2,2,1,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,3,2,6,0,0,"e4,e6"
91,1c364177-1407-4057-87fa-bb136ad2381d,42,21,"Blackburne, Joseph",Nh3#,f4h3,f4,h3,N,Black,r4rk1/1p3ppp/1ppp4/4p3/3PP3/1BN2Pnn/PPPQ2RN/3R2K1,1,1,0,0,1,0,13,13,6,8,1,0,1,0,2,2,2,2,15,5,2,6,3,2,0,0,0,0,5,20,7,2,0,0,0,0,0,0,2,0,1,3,4,3,0,0,6,0,1,3,4,10,"e4,e5"
92,1c707e04-648d-4925-87e2-467d1b21db28,71,36,"Elder, F.",e6,e5e6,e5,e6,P,White,1r1k3r/5Q2/2p1P1p1/1pB2n1p/4R3/P6P/5PPK/2q5,0,0,0,0,0,0,9,9,5,4,1,1,1,0,0,1,1,2,13,17,0,3,2,1,1,1,1,0,0,2,2,5,3,1,9,0,1,0,0,0,3,2,0,3,9,0,0,0,5,2,0,10,"e4,e5"
93,1c899d4b-1f17-4b68-97d3-d14afd1f1550,114,57,"Fraser, George",Kf8,e7f8,e7,f8,K,Black,5k2/5p2/p6P/1p4P1/2p5/8/P6K/8,0,0,0,0,0,0,4,5,3,4,0,0,0,0,0,0,0,0,35,36,0,2,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,"e4,e5"
94,1d644d28-54c6-41c8-8460-bda6502ed306,71,36,"Anderssen, Adolf",Bh6,f4h6,f4,h6,B,White,2r4k/1bp4p/1pn1rP1B/3p1N2/4B1P1/4QP1q/P6P/5RK1,0,0,0,0,0,0,11,10,5,4,1,1,2,1,1,1,1,2,10,11,2,2,2,2,1,2,0,0,5,2,10,4,3,4,0,0,0,0,1,0,1,3,3,2,0,0,9,0,1,9,5,5,"e4,e5"
95,1e1193ca-95b7-4895-a6e1-86c063c2b80b,80,40,"Schallopp, Emil",Kg2,g1g2,g1,g2,K,Black,8/8/2p5/8/3p4/3Ppp2/PPP1N1k1/4K3,0,0,0,0,0,0,6,5,4,4,0,0,0,0,1,0,0,0,35,32,1,4,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,2,1,0,1,0,0,"e4,e5"
96,1e1654ae-b8f5-4786-aeef-4881a3f0e43d,54,27,"Zukertort, Johannes",Nd3,e5d3,e5,d3,N,Black,1r2r1k1/2pp1ppp/1p4n1/6N1/5P1q/B2n3P/P5K1/2Q1RR2,0,0,0,0,0,0,9,12,3,6,1,1,1,0,1,2,2,2,8,11,3,2,2,1,1,0,0,0,19,1,4,1,3,0,0,0,0,0,1,1,0,2,5,3,0,0,3,9,0,4,5,10,"e4,e5"
97,1e6e5b56-e5dc-45e1-a7a9-67e122d605c8,47,24,"Minckwitz, Johannes",Nxf7,e5f7,e5,f7,N,White,6k1/ppp1nNp1/5n1p/2N5/3P4/6P1/PP3r1P/2R1R1K1,0,0,0,0,0,0,10,9,5,5,0,0,0,0,2,2,2,1,23,18,3,3,1,1,1,0,1,0,10,3,1,1,3,0,3,0,0,1,0,0,0,2,5,1,0,5,0,0,0,4,7,0,"e4,e5"
