,name,region,average_rating_standard,average_rating_rapid,average_rating_blitz,highest_rating_standard,highest_rating_rapid,highest_rating_blitz,total_players,total_players_standard,total_players_rapid,total_players_blitz,total_titles
68,Moldova,Europe,1639.5748865355522,1652.2228412256268,1656.8035087719297,2589.0,2666.0,2522.0,711,661,359,285,72
69,Montenegro,Europe,1893.857142857143,1840.7305825242718,1886.7244318181818,2521.0,2584.0,2596.0,594,427,412,352,59
70,Morocco,Africa,1814.9195402298851,1768.0592592592593,1780.3251028806585,2561.0,2524.0,2490.0,491,348,270,243,44
71,Mozambique,Africa,1588.5820895522388,1884.7142857142858,1817.4545454545455,2230.0,2191.0,2269.0,68,67,7,11,11
72,Namibia,Africa,1474.6736842105263,1864.8,1552.5714285714287,2206.0,2181.0,2054.0,95,95,5,7,14
73,Nauru,Oceania,1684.75,1639.5,0.0,1763.0,1779.0,0.0,14,8,14,0,2
74,New Zealand,Oceania,1719.180608365019,1564.79185520362,1666.514423076923,2518.0,2443.0,2469.0,678,526,442,208,71
75,Norway,Europe,1606.1685779816514,1539.8111618111618,1541.0428134556576,2862.0,2881.0,2886.0,4351,3488,2849,2616,146
76,Pakistan,Asia,1801.2466666666667,1659.7875,1629.0714285714287,2334.0,2335.0,2272.0,178,150,80,42,13
77,Palau,Oceania,1395.2241379310344,1474.55,1415.1224489795918,1885.0,1864.0,1924.0,156,116,60,98,3
78,Panama,Americas,1634.3258785942492,1692.6328125,1623.7964912280702,2409.0,2418.0,2418.0,411,313,128,285,39
79,Papua New Guinea,Oceania,1828.8,1892.8,1825.6666666666667,2205.0,2053.0,1987.0,10,10,5,3,6
80,Peru,Americas,1520.2291946308724,1513.670868347339,1496.8721264367816,2652.0,2645.0,2690.0,3268,2980,714,1392,102
81,Poland,Europe,1621.395588235294,1463.0894220283533,1516.8663246831622,2743.0,2774.0,2799.0,15004,10880,10087,6628,464
82,Qatar,Asia,1732.9830508474577,2040.3076923076924,1782.7272727272727,2542.0,2524.0,2535.0,61,59,13,22,13
83,Romania,Europe,1613.2795154185021,1524.2996941896024,1571.910149750416,2656.0,2628.0,2605.0,5341,4540,3597,2404,269
84,Russia,Europe,1704.6502244668911,1609.0194708100378,1660.924972302238,2812.0,2784.0,2801.0,49039,35640,30764,22565,2616
85,Rwanda,Africa,1598.1739130434783,1675.1052631578948,1728.0,1901.0,1867.0,1752.0,47,46,19,2,5
86,Saint Lucia,Americas,1732.7272727272727,1731.4285714285713,2115.0,2193.0,1955.0,2115.0,11,11,7,1,0
87,San Marino,Europe,1803.7272727272727,1594.0,1806.4,2168.0,2038.0,1967.0,19,11,15,5,6
88,Sao Tome and Principe,Africa,1703.9583333333333,1658.5,1812.0,1920.0,1915.0,1919.0,27,24,10,4,4
89,Senegal,Africa,1690.2857142857142,1837.4,1826.4,2111.0,1993.0,1994.0,16,14,5,5,1
90,Serbia,Europe,1906.7356627421193,1830.0682492581602,1894.769366197183,2607.0,2626.0,2643.0,6446,5266,3370,2272,584
